name,time,ms,measured_ms,provider,language,memory,region
factors,1579181892208105386,15577,15458.351,google,node,128,europe-west1
factors,1579181892276429157,5635,5242.792,azureWindows,node,128,westeurope
factors,1579181892405207907,755,685.8702000000001,aws,dotnet,128,eu-central-1
factors,1579181892421494399,773,590.2884006500244,ibm,python,128,eu-de
factors,1579181892660375068,1012,932,aws,go,128,eu-central-1
factors,1579181892711423815,1068,997,google,go,128,europe-west1
factors,1579181893019584641,1369,1215.4524326324463,azure,python,128,westeurope
factors,1579181893410346613,16777,16603.689,aws,node,128,eu-central-1
factors,1579181893636233604,1990,1785.412,ibm,node,128,eu-de
factors,1579181894044479858,2395,2177.225,azure,node,128,westeurope
factors,1579181894236797796,7603,7304.567337036133,google,python,128,europe-west1
factors,1579181894683789206,8049,7907.409906387329,aws,python,128,eu-central-1
factors,1579181896867131677,214,82.35300000000001,ibm,dotnet,128,eu-de
factors,1579181896896241488,246,62,ibm,go,128,eu-de
factors,1579181896918002014,254,83.0368,azure,dotnet,128,westeurope
factors,1579181897026254787,372,250.21390000000002,azureWindows,dotnet,128,westeurope
factors,1579181897406519362,755,666.1556,aws,dotnet,128,eu-central-1
factors,1579181897422642810,775,597.7725982666016,ibm,python,128,eu-de
factors,1579181897612396967,969,882,google,go,128,europe-west1
factors,1579181897699488604,1050,975,aws,go,128,eu-central-1
factors,1579181898201645642,6402,6272.742,azureWindows,node,128,westeurope
factors,1579181898201833135,1363,1189.1331672668457,azure,python,128,westeurope
factors,1579181899026507216,17384,16915.917,aws,node,128,eu-central-1
factors,1579181899026621977,2380,1861.381,ibm,node,128,eu-de
factors,1579181899026650813,17389,16673.442,google,node,128,europe-west1
factors,1579181899033810994,2376,2087.285,azure,node,128,westeurope
factors,1579181899133662464,7490,7357.07688331604,google,python,128,europe-west1
factors,1579181899728046928,8081,7911.017179489136,aws,python,128,eu-central-1
factors,1579181901951475677,15318,15100.345,google,node,128,europe-west1
factors,1579181902057763300,5404,5259.245,azureWindows,node,128,westeurope
factors,1579181903460518534,16825,16703.834,aws,node,128,eu-central-1
factors,1579181904627825499,7984,7845.223426818848,google,python,128,europe-west1
factors,1579181904672606033,8025,7856.642961502075,aws,python,128,eu-central-1
factors,1579181906659198421,15014,14795.741,google,node,128,europe-west1
factors,1579181908912972517,17265,17099.604,aws,node,128,eu-central-1
factors,1579181912620124467,15975,15852.201,google,node,128,europe-west1
factors,1579181913481146064,16832,16679.4,aws,node,128,eu-central-1
factors,1579184037383706828,282,59,ibm,go,256,eu-de
factors,1579184037505915537,403,86.60560000000001,ibm,dotnet,256,eu-de
factors,1579184037602536486,501,340.07120000000003,aws,dotnet,256,eu-central-1
factors,1579184037610120381,515,396,google,go,256,europe-west1
factors,1579184037668652308,568,460,aws,go,256,eu-central-1
factors,1579184037938547846,839,587.8932476043701,ibm,python,256,eu-de
factors,1579184039163083769,2076,1772.008,ibm,node,256,eu-de
factors,1579184040392410643,3295,3178.328514099121,google,python,256,europe-west1
factors,1579184041171562809,4073,3910.5820655822754,aws,python,256,eu-central-1
factors,1579184042341465596,5243,2715.344,google,node,256,europe-west1
factors,1579184042411443529,318,83.7145,ibm,dotnet,256,eu-de
factors,1579184042412135242,321,58,ibm,go,256,eu-de
factors,1579184042504531848,413,338.9116,aws,dotnet,256,eu-central-1
factors,1579184042607985942,517,443,aws,go,256,eu-central-1
factors,1579184042619430825,532,409,google,go,256,europe-west1
factors,1579184042905589942,816,595.2043533325195,ibm,python,256,eu-de
factors,1579184044043519878,1956,1751.918,ibm,node,256,eu-de
factors,1579184045266165194,3177,3007.5674057006836,google,python,256,europe-west1
factors,1579184046127817096,4038,3901.986837387085,aws,python,256,eu-central-1
factors,1579184046544798321,9443,9264.045,aws,node,256,eu-central-1
factors,1579184047264375476,170,57,ibm,go,256,eu-de
factors,1579184047344686364,250,84.9422,ibm,dotnet,256,eu-de
factors,1579184047486843300,393,322.7181,aws,dotnet,256,eu-central-1
factors,1579184047591038978,498,425,aws,go,256,eu-central-1
factors,1579184047621725131,532,413,google,go,256,europe-west1
factors,1579184047860743316,769,604.3517589569092,ibm,python,256,eu-de
factors,1579184048415453862,6327,6214.111,google,node,256,europe-west1
factors,1579184049087192021,1998,1769.946,ibm,node,256,eu-de
factors,1579184050869726155,8779,8417.891,aws,node,256,eu-central-1
factors,1579184051127129480,4036,3932.746648788452,aws,python,256,eu-central-1
factors,1579184051266576955,4176,2892.8306102752686,google,python,256,europe-west1
factors,1579184052341953959,245,58,ibm,go,256,eu-de
factors,1579184052386048325,288,83.8705,ibm,dotnet,256,eu-de
factors,1579184052505305893,407,335.1096,aws,dotnet,256,eu-central-1
