name,time,ms,provider,region
latency,1579030922654333399,121,aws,eu-west-3
latency,1579030922727727408,142,aws,eu-north-1
latency,1579030923315959240,160,aws,eu-north-1
latency,1579030923342099064,1267,ibm,jp-tok
latency,1579030923955899219,721,aws,sa-east-1
latency,1579030924222114001,379,ibm,eu-de
latency,1579030924548347293,730,aws,sa-east-1
latency,1579030924971939072,514,aws,me-south-1
latency,1579030925032895114,309,google,us-central1
latency,1579030925533921458,483,aws,me-south-1
latency,1579030925940384165,405,aws,us-east-2
latency,1579030926132178731,656,aws,ap-east-1
latency,1579030926672905202,230,ibm,eu-gb
latency,1579030926679600691,645,aws,ap-east-1
latency,1579030926964726993,331,azure,eastus
latency,1579030927416909002,242,google,us-east1
latency,1579030927634211633,452,azure,eastus
latency,1579030927957466850,490,azure,eastus2
latency,1579030928290647507,371,aws,us-east-1
latency,1579030928604337071,465,azure,eastus2
latency,1579030928607307417,151,azure,uksouth
latency,1579030929244682721,139,azure,uksouth
latency,1579030929652154523,859,azure,eastasia
latency,1579030930332470722,1224,ibm,jp-tok
latency,1579030930812170004,657,ibm,us-south
latency,1579030931015842959,1268,ibm,jp-tok
latency,1579030931118514318,285,ibm,eu-de
latency,1579030931816309578,295,ibm,eu-de
latency,1579030931830838531,209,google,us-central1
latency,1579030932034679852,714,google,us-east4
latency,1579030932469503014,152,google,us-central1
latency,1579030932713074795,382,aws,us-east-2
latency,1579030933078641176,542,aws,us-west-1
latency,1579030933432439624,211,ibm,eu-gb
latency,1579030933451363178,480,aws,us-east-2
latency,1579030934059965629,476,ibm,us-east
latency,1579030934142771187,189,ibm,eu-gb
latency,1579030934713433587,778,google,us-east1
latency,1579030934746755492,185,google,europe-west1
latency,1579030934815457470,169,google,us-east1
latency,1579030935478557948,229,aws,us-west-2
latency,1579030935665271927,449,aws,us-east-1
latency,1579030935674993654,356,aws,us-east-1
latency,1579030936392972576,413,aws,ap-south-1
latency,1579030936957474931,63,google,europe-west2
latency,1579030936974413837,807,azure,eastasia
latency,1579030936978709774,803,azure,eastasia
latency,1579030937735347055,274,azure,northeurope
latency,1579030937788740972,314,ibm,us-south
latency,1579030938139569638,659,ibm,us-south
latency,1579030938778886124,135,google,us-east4
latency,1579030938887694022,597,google,us-east4
latency,1579030939816029405,532,aws,us-west-1
latency,1579030939911216464,522,aws,us-west-1
latency,1579030940293013478,2057,google,asia-east2
latency,1579030940814879449,498,ibm,us-east
latency,1579030940858500927,445,ibm,us-east
latency,1579030941439871967,124,google,europe-west1
latency,1579030941466613892,106,google,europe-west1
latency,1579030941685041635,890,aws,ap-northeast-2
latency,1579030942167210119,225,aws,us-west-2
latency,1579030942542338567,575,aws,us-west-2
latency,1579030942813222347,624,azure,southcentralus
latency,1579030943043839588,375,aws,ap-south-1
latency,1579030943410009487,366,aws,ap-south-1
latency,1579030943600356369,53,google,europe-west2
latency,1579030944484742933,571,google,europe-west2
latency,1579030944484865285,1169,aws,ap-southeast-1
latency,1579030944673814368,189,azure,northeurope
latency,1579030945145511230,160,azure,northeurope
latency,1579030945501609397,325,google,asia-east2
latency,1579030946748231305,1762,google,asia-northeast1
latency,1579030946860746252,855,aws,ap-northeast-2
latency,1579030947625253993,1978,google,asia-east2
latency,1579030947971925634,720,azure,southeastasia
latency,1579030947990577827,628,azure,southcentralus
latency,1579030948459201321,333,aws,ap-northeast-2
latency,1579030948848231837,357,aws,ap-southeast-1
latency,1579030949532524053,572,azure,southcentralus
latency,1579030949582876782,1100,aws,ap-southeast-2
latency,1579030950578042576,543,aws,ap-southeast-1
latency,1579030951050502283,1701,google,asia-northeast1
latency,1579030951072777127,998,aws,ap-northeast-1
latency,1579030951777972677,204,azure,westeurope
latency,1579030952241768069,688,azure,southeastasia
latency,1579030952722547232,441,aws,ca-central-1
latency,1579030952739681096,1661,google,asia-northeast1
latency,1579030953299908843,74,aws,eu-central-1
latency,1579030953906803980,664,azure,southeastasia
latency,1579030953970855856,169,aws,eu-west-1
latency,1579030954057879487,1313,aws,ap-southeast-2
latency,1579030955268983641,796,azure,westus2
latency,1579030955318460633,760,aws,ap-northeast-1
latency,1579030955347614369,939,aws,ap-southeast-2
latency,1579030955916326979,144,aws,eu-west-2
latency,1579030955975040017,155,azure,westeurope
latency,1579030956589542207,156,aws,eu-west-3
latency,1579030956612588763,763,aws,ap-northeast-1
latency,1579030956751305932,272,aws,ca-central-1
latency,1579030957240151450,159,aws,eu-north-1
latency,1579030957252864896,138,azure,westeurope
latency,1579030957320486023,68,aws,eu-central-1
latency,1579030957983523450,161,aws,eu-west-1
latency,1579030958166875234,410,aws,ca-central-1
latency,1579030958480155751,737,aws,sa-east-1
latency,1579030958734387741,66,aws,eu-central-1
latency,1579030959190798647,706,azure,westus2
latency,1579030959323411585,88,aws,eu-west-1
latency,1579030959497804163,516,aws,me-south-1
latency,1579030959770330407,79,aws,eu-west-2
latency,1579030960348781430,524,azure,westus2
latency,1579030960394218869,121,aws,eu-west-3
latency,1579030960792419162,792,aws,ap-east-1
latency,1579030960983126815,86,aws,eu-north-1
latency,1579030960989724732,140,aws,eu-west-2
latency,1579030961561850267,69,aws,eu-west-3
latency,1579030961818495380,522,azure,eastus
latency,1579030962145792517,82,aws,eu-north-1
latency,1579030962209300118,724,aws,sa-east-1
latency,1579030962873128060,555,azure,eastus2
latency,1579030963188837969,477,aws,me-south-1
latency,1579030963352547773,702,aws,sa-east-1
latency,1579030963609977882,234,azure,uksouth
latency,1579030964330931827,479,aws,me-south-1
latency,1579030964527127494,837,aws,ap-east-1
latency,1579030965516449598,488,azure,eastus
latency,1579030965589220917,756,aws,ap-east-1
latency,1579030965597333740,1481,ibm,jp-tok
latency,1579030966320994147,227,ibm,eu-de
latency,1579030966488464825,470,azure,eastus2
latency,1579030966548530411,458,azure,eastus
latency,1579030967035717790,211,google,us-central1
latency,1579030967146831180,154,azure,uksouth
latency,1579030967521081035,472,azure,eastus2
latency,1579030967930753382,393,aws,us-east-2
latency,1579030968193511623,170,azure,uksouth
latency,1579030968649179057,218,ibm,eu-gb
latency,1579030968844659477,1194,ibm,jp-tok
latency,1579030969333473591,183,google,us-east1
latency,1579030969564914561,219,ibm,eu-de
latency,1579030969901441232,1207,ibm,jp-tok
latency,1579030970001941953,166,aws,us-east-1
latency,1579030970228407890,163,google,us-central1
latency,1579030970581078861,170,ibm,eu-de
latency,1579030971098238388,369,aws,us-east-2
latency,1579030971336672641,254,google,us-central1
latency,1579030971370134385,865,azure,eastasia
latency,1579030971794599709,195,ibm,eu-gb
latency,1579030972213561262,375,aws,us-east-2
latency,1579030972464068006,593,ibm,us-south
latency,1579030972908966603,193,ibm,eu-gb
latency,1579030973118681102,819,google,us-east1
latency,1579030973177916789,213,google,us-east4
latency,1579030973972996866,345,aws,us-east-1
latency,1579030974204713327,786,google,us-east1
latency,1579030974230424649,545,aws,us-west-1
latency,1579030974861756467,156,aws,us-east-1
latency,1579030975223957254,492,ibm,us-east
latency,1579030975262755820,790,azure,eastasia
latency,1579030975853911851,127,google,europe-west1
latency,1579030976139625927,775,azure,eastasia
latency,1579030976361994663,589,ibm,us-south
latency,1579030976953854622,599,aws,us-west-2
latency,1579030977004480026,139,google,us-east4
latency,1579030977221105281,577,ibm,us-south
latency,1579030977874490346,417,aws,ap-south-1
latency,1579030977880319962,157,google,us-east4
latency,1579030978033967153,525,aws,us-west-1
latency,1579030978644347090,269,google,europe-west2
latency,1579030978717153154,173,ibm,us-east
latency,1579030978924251080,542,aws,us-west-1
latency,1579030979269931406,52,google,europe-west1
latency,1579030979393385461,247,azure,northeurope
latency,1579030979927376715,502,ibm,us-east
latency,1579030980343615495,569,aws,us-west-2
latency,1579030980538450163,109,google,europe-west1
latency,1579030981201947919,357,aws,ap-south-1
latency,1579030981269821860,228,aws,us-west-2
latency,1579030981898650683,2004,google,asia-east2
